player_id,team_id,general_position,minutes_played,data
0Oq624oPq6,jYQJ19EqGR,FB,419,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.10010000000000001, 'goals_added_above_avg': -0.1263, 'count_actions': 53}, {'action_type': 'Fouling', 'goals_added_raw': -0.0366, 'goals_added_above_avg': -0.0142, 'count_actions': 8}, {'action_type': 'Interrupting', 'goals_added_raw': 0.2676, 'goals_added_above_avg': -0.0118, 'count_actions': 47}, {'action_type': 'Passing', 'goals_added_raw': 0.0297, 'goals_added_above_avg': -0.1443, 'count_actions': 222}, {'action_type': 'Receiving', 'goals_added_raw': 0.0872, 'goals_added_above_avg': -0.016300000000000002, 'count_actions': 155}, {'action_type': 'Shooting', 'goals_added_raw': 0.09960000000000001, 'goals_added_above_avg': 0.046400000000000004, 'count_actions': 3}]"
0Oq624zdq6,APk5LGOMOW,W,174,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.1835, 'goals_added_above_avg': 0.1585, 'count_actions': 28}, {'action_type': 'Fouling', 'goals_added_raw': -0.0055000000000000005, 'goals_added_above_avg': -0.0125, 'count_actions': 4}, {'action_type': 'Interrupting', 'goals_added_raw': 0.1358, 'goals_added_above_avg': 0.0417, 'count_actions': 16}, {'action_type': 'Passing', 'goals_added_raw': 0.0539, 'goals_added_above_avg': 0.0264, 'count_actions': 60}, {'action_type': 'Receiving', 'goals_added_raw': 0.0918, 'goals_added_above_avg': -0.0376, 'count_actions': 48}, {'action_type': 'Shooting', 'goals_added_raw': 0.0004, 'goals_added_above_avg': -0.0634, 'count_actions': 1}]"
0Oq62JVPq6,a2lqRX2Mr0,FB,52,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0473, 'goals_added_above_avg': -0.0511, 'count_actions': 15}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': 0.0021000000000000003, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0815, 'goals_added_above_avg': 0.048400000000000006, 'count_actions': 6}, {'action_type': 'Passing', 'goals_added_raw': -0.0451, 'goals_added_above_avg': -0.0648, 'count_actions': 21}, {'action_type': 'Receiving', 'goals_added_raw': -0.005200000000000001, 'goals_added_above_avg': -0.0184, 'count_actions': 14}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0068000000000000005, 'count_actions': 0}]"
0Oq6320dQ6,Vj58weDM8n,CB,807,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0039000000000000003, 'goals_added_above_avg': -0.042800000000000005, 'count_actions': 104}, {'action_type': 'Fouling', 'goals_added_raw': 0.0238, 'goals_added_above_avg': 0.08460000000000001, 'count_actions': 15}, {'action_type': 'Interrupting', 'goals_added_raw': 1.0343, 'goals_added_above_avg': 0.4067, 'count_actions': 102}, {'action_type': 'Passing', 'goals_added_raw': 0.5285000000000001, 'goals_added_above_avg': 0.1163, 'count_actions': 590}, {'action_type': 'Receiving', 'goals_added_raw': 0.08120000000000001, 'goals_added_above_avg': -0.11720000000000001, 'count_actions': 465}, {'action_type': 'Shooting', 'goals_added_raw': 0.1537, 'goals_added_above_avg': 0.038, 'count_actions': 5}]"
0Oq633dAQ6,19vQ2095K6,W,389,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0094, 'goals_added_above_avg': -0.0649, 'count_actions': 67}, {'action_type': 'Fouling', 'goals_added_raw': 0.0461, 'goals_added_above_avg': 0.009300000000000001, 'count_actions': 11}, {'action_type': 'Interrupting', 'goals_added_raw': -0.059800000000000006, 'goals_added_above_avg': -0.2451, 'count_actions': 42}, {'action_type': 'Passing', 'goals_added_raw': -0.20650000000000002, 'goals_added_above_avg': -0.21050000000000002, 'count_actions': 95}, {'action_type': 'Receiving', 'goals_added_raw': 0.3407, 'goals_added_above_avg': -0.0757, 'count_actions': 102}, {'action_type': 'Shooting', 'goals_added_raw': 0.2136, 'goals_added_above_avg': 0.0099, 'count_actions': 6}]"
0Oq63DL6Q6,jYQJ19EqGR,FB,114,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.006200000000000001, 'goals_added_above_avg': -0.0213, 'count_actions': 8}, {'action_type': 'Fouling', 'goals_added_raw': 0.006900000000000001, 'goals_added_above_avg': 0.0038, 'count_actions': 4}, {'action_type': 'Interrupting', 'goals_added_raw': 0.044700000000000004, 'goals_added_above_avg': -0.0188, 'count_actions': 10}, {'action_type': 'Passing', 'goals_added_raw': 0.0059, 'goals_added_above_avg': -0.0164, 'count_actions': 37}, {'action_type': 'Receiving', 'goals_added_raw': 0.0145, 'goals_added_above_avg': -0.061, 'count_actions': 27}, {'action_type': 'Shooting', 'goals_added_raw': 0.015, 'goals_added_above_avg': -0.0223, 'count_actions': 1}]"
0Oq63P32Q6,eVq3ya6MWO,CB,870,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.011600000000000001, 'goals_added_above_avg': -0.029, 'count_actions': 87}, {'action_type': 'Fouling', 'goals_added_raw': -0.0504, 'goals_added_above_avg': 0.0375, 'count_actions': 6}, {'action_type': 'Interrupting', 'goals_added_raw': 0.363, 'goals_added_above_avg': -0.32180000000000003, 'count_actions': 91}, {'action_type': 'Passing', 'goals_added_raw': 0.5579000000000001, 'goals_added_above_avg': 0.07390000000000001, 'count_actions': 444}, {'action_type': 'Receiving', 'goals_added_raw': 0.0731, 'goals_added_above_avg': -0.1178, 'count_actions': 369}, {'action_type': 'Shooting', 'goals_added_raw': 0.067, 'goals_added_above_avg': -0.029300000000000003, 'count_actions': 4}]"
0Oq63YndQ6,zeQZBOzQKw,CM,812,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.3573, 'goals_added_above_avg': 0.28250000000000003, 'count_actions': 134}, {'action_type': 'Fouling', 'goals_added_raw': 0.0779, 'goals_added_above_avg': 0.062200000000000005, 'count_actions': 25}, {'action_type': 'Interrupting', 'goals_added_raw': 0.1734, 'goals_added_above_avg': -0.3396, 'count_actions': 54}, {'action_type': 'Passing', 'goals_added_raw': -0.0171, 'goals_added_above_avg': -0.28350000000000003, 'count_actions': 406}, {'action_type': 'Receiving', 'goals_added_raw': 1.0331, 'goals_added_above_avg': 0.5777, 'count_actions': 377}, {'action_type': 'Shooting', 'goals_added_raw': 0.3628, 'goals_added_above_avg': 0.1057, 'count_actions': 12}]"
0Oq6712Q6D,NPqxKXZ59d,DM,847,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0714, 'goals_added_above_avg': -0.0132, 'count_actions': 130}, {'action_type': 'Fouling', 'goals_added_raw': 0.0463, 'goals_added_above_avg': 0.076, 'count_actions': 12}, {'action_type': 'Interrupting', 'goals_added_raw': 0.3927, 'goals_added_above_avg': -0.24020000000000002, 'count_actions': 47}, {'action_type': 'Passing', 'goals_added_raw': 0.7691, 'goals_added_above_avg': 0.4092, 'count_actions': 563}, {'action_type': 'Receiving', 'goals_added_raw': 0.1651, 'goals_added_above_avg': -0.10070000000000001, 'count_actions': 452}, {'action_type': 'Shooting', 'goals_added_raw': 0.0949, 'goals_added_above_avg': -0.0752, 'count_actions': 4}]"
0Oq6ENn256,jYQJ19EqGR,ST,314,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.1267, 'goals_added_above_avg': 0.18630000000000002, 'count_actions': 22}, {'action_type': 'Fouling', 'goals_added_raw': -0.0161, 'goals_added_above_avg': -0.0587, 'count_actions': 5}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0883, 'goals_added_above_avg': -0.018000000000000002, 'count_actions': 9}, {'action_type': 'Passing', 'goals_added_raw': -0.6521, 'goals_added_above_avg': -0.536, 'count_actions': 46}, {'action_type': 'Receiving', 'goals_added_raw': 0.44020000000000004, 'goals_added_above_avg': -0.22240000000000001, 'count_actions': 50}, {'action_type': 'Shooting', 'goals_added_raw': 0.1554, 'goals_added_above_avg': -0.0785, 'count_actions': 5}]"
