team_id,count_games,shots_for,shots_against,goals_for,goals_against,goal_difference,xgoals_for,xgoals_against,xgoal_difference,goal_difference_minus_xgoal_difference,points,xpoints,team_name
0KPqjA456v,23,313,291,39,33,6,45.641,38.1467,7.4943,-1.4943,35,34.807,San Jose Earthquakes
19vQ2095K6,23,290,291,37,27,10,36.662,34.834,1.828,8.172,37,31.914,New England Revolution
9z5k7Yg5A3,23,373,212,35,38,-3,42.7744,35.8569,6.9175,-9.9175,27,35.955,Philadelphia Union
APk5LGOMOW,23,303,295,30,46,-16,36.6825,39.5882,-2.9057,-13.0943,21,31.755,CF Montréal
EKXMeX3Q64,22,276,313,27,36,-9,33.5444,37.4771,-3.9327,-5.0673,25,27.396,D.C. United
KAqBN0Vqbg,23,293,284,27,40,-13,34.1337,38.9796,-4.8459,-8.1541,22,29.282,Atlanta United
NPqxKXZ59d,23,265,349,40,31,9,38.4354,35.3834,3.0521,5.9479,36,33.35,Charlotte FC
NWMWlBK5lz,22,306,356,48,48,0,41.0705,42.3789,-1.3084,1.3084,31,29.802,FC Cincinnati
Vj58weDM8n,23,263,282,36,31,5,35.1876,35.6955,-0.5079,5.5079,29,32.394,New York City FC
WBLMvYAQxe,23,296,384,42,43,-1,35.9122,44.209,-8.2969,7.2969,31,28.796,Portland Timbers
X0Oq66zq6D,22,306,275,41,31,10,43.2337,31.8505,11.3832,-1.3832,38,36.542,Chicago Fire
YgOMngl5wN,23,305,269,30,23,7,26.697,28.6535,-1.9565,8.9565,40,31.183,Houston Dynamo
Z2vQ1xlqrA,23,232,360,23,57,-34,25.4033,49.8609,-24.4577,-9.5423,15,19.158,Sporting Kansas City
a2lqR4JMr0,22,316,298,33,34,-1,33.8475,39.0729,-5.2255,4.2255,29,26.369,Real Salt Lake
a2lqRX2Mr0,23,308,315,30,46,-16,40.9197,46.0015,-5.0817,-10.9183,27,29.094,New York Red Bulls
eVq3ya6MWO,24,347,308,35,22,13,40.4972,35.4322,5.065,7.935,37,36.698,LAFC
gpMOLwl5zy,23,251,384,28,40,-12,27.2602,46.1727,-18.9125,6.9125,25,22.102,Austin FC
jYQJ19EqGR,22,290,304,24,29,-5,33.2657,36.1949,-2.9292,-2.0708,27,28.076,Seattle Sounders
jYQJ8EW5GR,23,280,380,38,53,-15,36.9398,46.6507,-9.7109,-5.2891,28,27.093,Orlando City
kRQabn8MKZ,23,271,290,33,40,-7,28.7904,35.093,-6.3026,-0.6974,26,27.239,Toronto FC
kRQand1MKZ,23,315,272,34,36,-2,42.429,36.1469,6.2821,-8.2821,29,37.018,Minnesota United
kaDQ0wRqEv,24,305,333,30,35,-5,39.429,42.5502,-3.1212,-1.8788,29,30.881,LA Galaxy
lgpMOvnQzy,22,378,181,48,21,27,51.697,23.2067,28.4904,-1.4904,43,45.54,Vancouver Whitecaps
mKAqBBmqbg,23,279,282,44,39,5,39.7443,33.1775,6.5668,-1.5668,37,36.629,FC Dallas
mvzqoLZQap,23,267,246,31,39,-8,29.6483,29.1186,0.5297,-8.5297,23,31.279,Columbus Crew
pzeQZ6xQKw,23,274,260,29,30,-1,35.1277,29.5597,5.568,-6.568,31,33.015,Colorado Rapids
vzqoOgNqap,23,274,247,47,17,30,34.3291,32.7267,1.6024,28.3976,53,32.801,Nashville SC
wvq9B9wQWn,23,316,267,35,31,4,37.568,30.9494,6.6186,-2.6186,37,35.747,St. Louis City SC
zeQZBOzQKw,23,277,302,40,34,6,36.6007,39.9816,-3.3809,9.3809,30,32.043,San Diego FC
zeQZkL1MKw,23,354,293,57,41,16,52.322,40.8438,11.4782,4.5218,43,38.992,Inter Miami CF
